Title,Year,Duration,Rating,Poster
1. The Shawshank Redemption,1994,2h 22m,9.3,"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
2. The Godfather,1972,2h 55m,9.2,"https://m.media-amazon.com/images/M/MV5BZTg0ZjcwOGUtZGIyOS00YTFlLWI5ZWQtYjA2NDgxMWJhZmNjXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
3. The Dark Knight,2008,2h 32m,9.0,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
4. The Godfather: Part II,1974,3h 22m,9.0,"https://m.media-amazon.com/images/M/MV5BNDNkZDI5ODctYmUzYy00MDhkLTg5OWMtYzdhMjU1NTRlNjUzXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
5. 12 Angry Men,1957,1h 36m,9.0,"https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg"
6. The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,"https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
7. Schindler's List,1993,3h 15m,9.0,"https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
8. Pulp Fiction,1994,2h 34m,8.8,"https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,"https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
"10. Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,8.8,"https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
11. Forrest Gump,1994,2h 22m,8.8,"https://m.media-amazon.com/images/M/MV5BMzUyOTViYjUtZmMwMC00ZTE5LTg2MWQtYWQzYzE5MDc5MGMxXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
12. The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,"https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg"
13. Fight Club,1999,2h 19m,8.8,"https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
